,Open,High,Low,Close,Adj Close,Volume,20_SMA,50_SMA,TP,std,MA-TP,BOLU,BOLD,macd,signal,hist,Supertrend,Final Lowerband,Final Upperband
558,5195.0,5253.39990234375,5158.0498046875,5193.39990234375,5193.39990234375,636436,5123.986765008223,5123.986765008223,5201.616536458333,,,,,,,,True,4942.7538186426345,
559,5224.7998046875,5314.0,5197.0498046875,5303.35009765625,5303.35009765625,435444,5132.954931640625,5132.954931640625,5271.466634114583,71.12610257564164,5128.118302408854,5270.370507560137,4985.866097257571,,,,True,4981.303112511635,
560,5315.0498046875,5380.0,5272.85009765625,5365.7001953125,5365.7001953125,397768,5154.1949462890625,5144.038039434524,5339.516764322917,70.750844690968,5148.376635742187,5289.878325124123,5006.874946360252,,,,True,5046.900213386147,
561,5365.7001953125,5462.0,5341.35009765625,5426.14990234375,5426.14990234375,600824,5173.149951171875,5156.861305930398,5409.833333333333,84.2869819651469,5168.248307291667,5336.82227122196,4999.674343361373,,,,True,5113.007365135154,
562,5448.9501953125,5480.39990234375,5357.10009765625,5407.25,5407.25,388092,5189.3849609375,5167.747770889946,5414.916666666667,96.57960549295095,5185.659977213541,5378.8191881994435,4992.500766227639,,,,True,5121.169177272968,
563,5400.0,5497.9501953125,5353.0,5485.89990234375,5485.89990234375,602474,5208.469946289062,5181.0041097005205,5445.61669921875,108.87438045407055,5203.779142252604,5421.527903160745,4986.030381344463,,,,True,5121.169177272968,
564,5500.0,5501.0,5450.0,5478.5,5478.5,244392,5227.067456054688,5192.9039453125,5476.5,121.53389115668429,5222.220817057291,5465.2885993706595,4979.153034743923,,,,True,5180.185693608354,
565,5480.0,5521.0,5467.2998046875,5508.64990234375,5508.64990234375,239456,5247.1324462890625,5205.048020582933,5498.983235677083,133.3251357275694,5240.930810546875,5507.581082002014,4974.2805390917365,,,,True,5213.184032214239,
566,5508.60009765625,5536.0,5416.0,5505.4501953125,5505.4501953125,327724,5262.739965820312,5216.174027054398,5485.816731770833,141.85135072830673,5257.51748046875,5541.220181925364,4973.814779012137,,,,True,5213.184032214239,
567,5498.0,5550.0,5457.35009765625,5539.10009765625,5539.10009765625,247607,5279.799975585937,5227.707101004465,5515.4833984375,151.74490239377369,5273.348315429687,5576.838120217235,4969.85851064214,,,,True,5215.521561051842,
